Segment,Customers,Customer Share (%),Revenue Share (%),Profile,Suggested Action
Champions,1464,25.02,69.0,"Very recent, frequent, high-value customers",Protect with loyalty/VIP treatment and early access
Loyal Customers,517,8.83,9.8,Consistent repeat purchasers,"Nurture, cross-sell and increase basket size"
At Risk,344,5.88,5.6,Previously valuable customers with weaker recency,Use targeted win-back and monitor absolute recency
Hibernating,1172,20.03,5.3,Low recent activity,Low-cost reactivation and seasonal messaging
Potential Loyalist,710,12.13,4.8,Some repeat behavior with room to deepen loyalty,Second/third-purchase nudges and bundles
Need Attention,458,7.83,2.7,Moderate activity that may be weakening,Personalized follow-up and product recommendations
Lost,809,13.82,1.6,Long-inactive customers,Selective win-back; avoid high-cost outreach
About to Sleep,195,3.33,0.5,Low recent engagement,Light reminder campaigns
Can't Lose Them,16,0.27,0.5,Small high-value risk group,High-touch retention
New Customers,167,2.85,0.3,Recent first-time buyers,Onboarding and second-purchase conversion
